ax,ay,az,qw,qx,qy,qz,tau_x,tau_y,tau_n,vE,vN,vD,w_est_x,w_est_y,w_est_z
0.000530389,0.000158908,-9.80927,0.862949,-9.60972e-06,-9.33091e-06,-0.505291,100.0,-1.34729e-06,-0.963499,-0.13983291,0.07863384,4.140526e-06,-4.14624e-06,3.67155e-06,-0.000939703
-0.000429304,-0.00132307,-9.80961,0.86293906,-9.67728e-06,-9.412931e-06,-0.50530803,100.0,-1.50372e-06,-0.959396,-0.139836,0.07862834,4.1741982e-06,-8.55013e-07,-5.24243e-06,-0.000937002
0.000232328,-0.000521016,-9.80968,0.86292976,-9.761748e-06,-9.4626475e-06,-0.5053239,100.0,-1.65232e-06,-0.955704,-0.13983887,0.078623235,4.201657e-06,-2.40053e-06,-4.27583e-06,-0.000946799
-0.000353535,0.000702519,-9.80935,0.8629202,-9.632543e-06,-9.615943e-06,-0.50534016,100.0,-1.85132e-06,-0.94997,-0.13984181,0.07861801,4.22322e-06,9.43556e-06,-3.34608e-06,-0.000933762
0.000826502,-0.000271528,-9.80945,0.862911,-9.44777e-06,-9.8111595e-06,-0.50535595,100.0,-2.04037e-06,-0.944809,-0.13984466,0.078612946,4.2473976e-06,1.28927e-05,-3.75093e-06,-0.000944587
-0.000719286,0.000300006,-9.81099,0.862901,-9.4443e-06,-9.96884e-06,-0.505373,100.0,-2.19249e-06,-0.939635,-0.13984771,0.07860752,4.290527e-06,4.12128e-06,-6.7124e-06,-0.000942816
-0.000631144,0.000732213,-9.80918,0.86289173,-9.400397e-06,-1.0098297e-05,-0.50538886,100.0,-2.33701e-06,-0.934979,-0.13985053,0.07860249,4.3192895e-06,5.15307e-06,-4.47399e-06,-0.000941007
0.000107525,-0.000417775,-9.81117,0.8628822,-9.420142e-06,-1.0109202e-05,-0.5054051,100.0,-2.4743e-06,-0.930788,-0.13985343,0.078597344,4.325517e-06,-5.90247e-07,-9.63778e-07,-0.000926255
6.69177e-05,0.000108486,-9.80978,0.8628729,-9.653589e-06,-1.0166299e-05,-0.5054209,100.0,-2.64859e-06,-0.924723,-0.13985623,0.078592345,4.3791415e-06,-8.63938e-06,-8.3643e-06,-0.000940677
-5.76288e-05,-0.000375704,-9.81091,0.86286336,-9.790484e-06,-1.0417804e-05,-0.5054372,100.0,-2.81416e-06,-0.919264,-0.13985911,0.07858723,4.470987e-06,4.36338e-07,-1.43058e-05,-0.000927629
0.000429939,0.000231999,-9.80933,0.862785,-9.14926e-06,-8.77765e-06,-0.505571,99.468,0.000103216,-4.54182,-0.13986866,0.07852323,4.8430984e-06,-1.3894e-05,8.69917e-05,-0.00775691
0.000172222,-0.000822669,-9.81022,0.8627743,-1.5725605e-05,-5.089652e-06,-0.5055892,99.0931,0.000206812,-7.7824,-0.13985413,0.07847143,5.913915e-06,-0.000376938,-7.13873e-06,-0.00105135
-0.00100698,-0.000427163,-9.8099,0.86276144,-2.9530414e-05,2.5638913e-06,-0.50561124,98.8392,0.00030783,-10.6844,-0.13984436,0.078390665,6.6810444e-06,-0.000789013,-1.87993e-05,-0.00128624
2.5785e-05,0.000681457,-9.80924,0.8627458,-4.703179e-05,1.2326597e-05,-0.5056379,97.4262,0.000404761,-16.9152,-0.1398017,0.0782479,9.084366e-06,-0.00100181,-2.12591e-05,-0.0015398
-0.000510022,0.000413479,-9.80966,0.86272585,-7.054509e-05,2.5496196e-05,-0.5056719,96.4799,0.000505296,-22.4132,-0.13974756,0.07804984,1.1147647e-05,-0.00134728,-2.62683e-05,-0.00195205
-0.000294141,0.00030164,-9.80981,0.8627011,-9.7238015e-05,4.0539806e-05,-0.50571406,94.367,0.000595659,-30.758,-0.1396423,0.07776494,1.451397e-05,-0.00153182,-2.57831e-05,-0.00248724
0.000628469,0.00200404,-9.80966,0.8626683,-0.00012881403,5.8455917e-05,-0.50577015,93.0838,0.000693433,-38.0109,-0.13952212,0.07741035,1.6378017e-05,-0.00181512,-2.52883e-05,-0.00320661
-0.000850118,0.00310903,-9.81117,0.8626272,-0.00016211404,7.668472e-05,-0.5058401,92.3906,0.000796169,-44.3655,-0.13940677,0.07700395,1.5887661e-05,-0.00189737,-5.52573e-05,-0.00406258
0.000181744,0.00349723,-9.80992,0.8625769,-0.00019231197,9.2966286e-05,-0.50592595,91.5094,0.000885311,-52.3239,-0.13928755,0.07654479,1.403948e-05,-0.00171435,-6.06293e-05,-0.00501035
-0.000681085,0.00408977,-9.80988,0.86251473,-0.00021973494,0.00010786597,-0.5060319,91.2373,0.000977495,-59.3119,-0.13918532,0.07605069,1.0288416e-05,-0.00155973,-4.97904e-05,-0.00613833
-0.000373158,0.00489022,-9.8098,0.8624397,-0.0002442399,0.00012091395,-0.5061598,91.2895,0.00106747,-67.3194,-0.13911138,0.07553,5.3662807e-06,-0.00138704,-5.55018e-05,-0.00738502
-0.000177812,0.00509588,-9.81059,0.86235094,-0.000267487,0.00013369799,-0.50631094,91.7446,0.001158,-74.4669,-0.139078,0.074993365,-3.1705673e-07,-0.00132619,-3.46501e-05,-0.00879752
