ax,ay,az,qw,qx,qy,qz,tau_x,tau_y,tau_n,vE,vN,vD,w_est_x,w_est_y,w_est_z
-0.0425491,0.0261208,-9.82715,-0.92285234,-0.010836604,-0.004580982,-0.38497415,159.982,-3.43421e-05,-102.506,0.17444049,0.1705218,6.346207e-06,0.00221328,-0.00136769,0.0049466
-0.0859036,0.0543931,-9.78141,-0.92280424,-0.010875302,-0.004528931,-0.3850891,159.983,-3.52203e-05,-102.305,0.17445672,0.17043804,3.81699e-05,0.00227392,-0.00136571,0.00495686
0.0590889,-0.00887688,-9.82996,-0.92275727,-0.010911503,-0.0044779615,-0.38520113,159.985,-3.50107e-05,-102.153,0.1744753,0.17036894,6.879804e-05,0.00215971,-0.00136499,0.00484681
0.00692325,0.0263513,-9.80434,-0.9227117,-0.010950796,-0.0044256486,-0.38530985,159.986,-3.48141e-05,-102.02,0.174499,0.17030603,0.000100815516,0.00229779,-0.0013639,0.00468059
-0.0517579,0.0555465,-9.80693,-0.9226667,-0.010991997,-0.004372549,-0.3854169,159.987,-3.48197e-05,-101.855,0.17452285,0.1702458,0.00013396503,0.00237872,-0.00136316,0.00459573
0.149601,-0.0438109,-9.86861,-0.922623,-0.0110356,-0.00431844,-0.385521,159.988,-3.48238e-05,-101.71,0.17454316,0.1701692,0.000168891,0.00247915,-0.00136364,0.00450232
0.0246876,0.00358993,-9.7832,-0.9225788,-0.011083097,-0.004262609,-0.38562593,159.989,-3.48979e-05,-101.54,0.17454858,0.17009628,0.0002049749,0.00265242,-0.00136632,0.00453093
0.0338583,0.0185854,-9.84027,-0.9225359,-0.011124099,-0.0042094095,-0.38572794,159.989,-3.4967e-05,-101.391,0.1745603,0.17004402,0.00023699076,0.00236772,-0.00136955,0.0043679
0.00353447,0.068003,-9.79818,-0.9224947,-0.011162597,-0.004157189,-0.38582587,159.99,-3.52e-05,-101.209,0.17455825,0.16998862,0.00026838234,0.00226262,-0.00136934,0.00423988
-0.0514699,-0.0430779,-9.83449,-0.92245334,-0.011201405,-0.0041048215,-0.38592416,159.99,-3.5418e-05,-101.05,0.17455184,0.16993193,0.00029954428,0.00227414,-0.00137062,0.00423255
-0.0255383,-0.00665749,-9.78422,-0.92241216,-0.011239202,-0.0040528406,-0.38602206,159.99,-3.61709e-05,-100.828,0.17454728,0.16988477,0.0003296345,0.00223235,-0.00137147,0.00422678
-0.0174406,-0.00989697,-9.88649,-0.9223727,-0.011274897,-0.0040016887,-0.38611588,159.99,-3.68756e-05,-100.633,0.17452683,0.16985516,0.00035835223,0.00214202,-0.00137088,0.00404076
0.0265879,0.000839452,-9.82712,-0.92233515,-0.011311102,-0.0039503607,-0.38620505,159.989,-3.87236e-05,-100.326,0.17450541,0.16981801,0.00038766125,0.00215681,-0.00137003,0.00382429
0.0150438,-0.0763824,-9.7915,-0.92229676,-0.011360597,-0.003893449,-0.38629588,159.988,-4.04526e-05,-100.056,0.1744983,0.16976917,0.00042230784,0.00273651,-0.00136999,0.00390281
0.0205251,-0.00630878,-9.85969,-0.92225903,-0.0114099,-0.00383659,-0.38638502,159.986,-4.23852e-05,-99.7266,0.17450424,0.16971989,0.0004569077,0.00273129,-0.00136963,0.00385769
-0.0101695,-0.0291459,-9.78931,-0.9222222,-0.011455502,-0.0037813308,-0.38647208,159.986,-4.41935e-05,-99.438,0.17451718,0.16966775,0.00049054786,0.00256443,-0.00136833,0.00372987
0.0279515,-0.0196208,-9.87259,-0.9221872,-0.011490302,-0.0037305509,-0.38655508,159.983,-4.65237e-05,-99.0639,0.17451036,0.16961007,0.00052082713,0.00209929,-0.00136739,0.00359638
-0.155766,0.0906627,-9.79288,-0.92215216,-0.011529602,-0.0036778906,-0.38663805,159.982,-4.87036e-05,-98.7362,0.1745072,0.16957003,0.0005517879,0.00228954,-0.00136895,0.0035558
-0.00226169,-0.000599186,-9.77094,-0.92211753,-0.011572494,-0.003623668,-0.3867198,159.979,-5.16731e-05,-98.2977,0.17451166,0.1695194,0.0005846513,0.00245042,-0.00136845,0.00351907
-0.0343119,-0.0583899,-9.71651,-0.927674,-0.0107804,-0.00362343,-0.373218,159.977,-5.44504e-05,-97.9135,0.16947162,0.17452519,0.00035281575,-0.0337417,-0.00681711,-0.583842
0.0702033,0.0063454,-9.82772,-0.92764187,-0.010826198,-0.0035689296,-0.37329695,159.974,-5.7168e-05,-97.4683,0.16947475,0.17448436,0.00038615798,0.00253733,-0.00136807,0.00334871
