ax,ay,az,qw,qx,qy,qz,vE,vN,vD
-0.0100738,-0.00573016,-9.8005,0.9388949,0.0021531,-0.000284329,-0.34419698,0.18410836,-0.15491395,-0.00022482646
0.00644164,-0.0159639,-9.79427,0.9388887,0.0021534595,-0.00028854393,-0.3442139,0.18410301,-0.15492031,-0.00022299506
-0.015829,0.00363583,-9.81944,0.93888104,0.00215055,-0.00029311,-0.344235,0.18409626,-0.15492834,-0.00022047298
0.0162179,-0.0229325,-9.80171,0.9388737,0.0021500695,-0.0002908139,-0.3442549,0.18408987,-0.15493593,-0.00022145265
0.0113749,0.0115071,-9.82639,0.9388638,0.0021509796,-0.00028703493,-0.34428194,0.1840811,-0.15494636,-0.00022333942
0.00877551,-0.0146691,-9.79975,0.9388579,0.0021507498,-0.00028153497,-0.34429798,0.18407594,-0.1549525,-0.00022580575
0.0140791,-0.00976931,-9.80226,0.9388494,0.0021530609,-0.0002797871,-0.34432116,0.18406838,-0.15496147,-0.000227
0.00791691,0.00717052,-9.8203,0.9388424,0.002154411,-0.00028237712,-0.34434018,0.18406218,-0.15496881,-0.00022606993
-0.015047,-0.0147062,-9.82142,0.93883735,0.0021561708,-0.0002783091,-0.34435412,0.18405765,-0.1549742,-0.00022821345
-0.0139559,-0.0181032,-9.83381,0.93882895,0.00215744,-0.00027162998,-0.34437698,0.18405017,-0.15498309,-0.00023146727
0.00813075,0.0177286,-9.80876,0.93881905,0.00215434,-0.000273868,-0.344404,0.18404129,-0.15499362,-0.00022997464
0.00709682,-0.0106952,-9.81582,0.9388121,0.0021542602,-0.00027106202,-0.34442303,0.1840351,-0.15500098,-0.00023125054
-0.0304003,0.00911033,-9.81464,0.9388029,0.0021558797,-0.00026687296,-0.34444797,0.18402696,-0.15501064,-0.00023343731
-0.00400977,-0.00774519,-9.82967,0.9387967,0.0021565694,-0.00026704592,-0.3444649,0.1840215,-0.15501712,-0.00023348932
-0.0167485,-0.0034999,-9.79475,0.93878865,0.0021559992,-0.0002644359,-0.34448686,0.18401444,-0.15502551,-0.00023459834
0.00451276,0.00711249,-9.78749,0.9387804,0.002155901,-0.00026336213,-0.34450915,0.1840073,-0.15503398,-0.00023509006
-0.00166337,-0.0177421,-9.79947,0.93877393,0.0021471397,-0.000256946,-0.34452698,0.18400173,-0.15504059,-0.00023656954
0.00922038,-0.0165981,-9.80622,0.9387688,0.0021451996,-0.00024894596,-0.34454092,0.18399748,-0.15504563,-0.00023988157
-0.0102461,-0.00955325,-9.80855,0.9387614,0.0021428908,-0.0002511331,-0.34456116,0.18399125,-0.15505303,-0.00023853175
-0.00611954,-0.00575185,-9.80891,0.93875486,0.0021449598,-0.00025158597,-0.34457895,0.18398589,-0.1550594,-0.00023868274
-0.00489069,-0.0121326,-9.81043,0.9387476,0.002145219,-0.0002521939,-0.34459883,0.18397991,-0.15506649,-0.00023846816
-0.0168938,-0.0141714,-9.83522,0.93874013,0.0021456904,-0.00024820204,-0.34461904,0.1839739,-0.15507364,-0.00024036912
-0.017409,0.00176252,-9.81419,0.9387325,0.002149249,-0.00024628287,-0.3446398,0.18396775,-0.15508093,-0.00024184052
-0.0127071,0.0246733,-9.80074,0.93872726,0.0021479006,-0.00024672307,-0.34465408,0.18396379,-0.15508562,-0.00024143129
-0.00955846,0.00176881,-9.79799,0.93871963,0.002148929,-0.0002503299,-0.34467486,0.18395774,-0.15509282,-0.0002399874
0.0040277,-0.0117348,-9.804,0.9387119,0.0021454499,-0.00025338898,-0.34469596,0.1839516,-0.1551001,-0.00023805059
0.00687627,-0.0133892,-9.8343,0.93870306,0.0021475302,-0.00025572002,-0.34472004,0.18394373,-0.1551079,-0.00023735911
0.00561516,-0.00821313,-9.80426,0.938695,0.00214438,-0.000247529,-0.344742,0.18393733,-0.15511549,-0.0002405654
-0.00989418,-0.0115416,-9.8166,0.9386869,0.0021438499,-0.00025337198,-0.34476396,0.18393092,-0.1551231,-0.00023785516
0.0071167,0.010555,-9.79584,0.93868136,0.0021434708,-0.0002545591,-0.34477913,0.18392675,-0.15512805,-0.00023726819
-0.0199699,-0.029491,-9.79657,0.93867403,0.0021402002,-0.000252566,-0.344799,0.183921,-0.15513489,-0.00023764925
-0.000628923,-0.00949934,-9.81009,0.938666,0.00214032,-0.000253437,-0.344821,0.18391453,-0.15514256,-0.00023729472
0.0039504,-0.0154514,-9.81234,0.9386598,0.0021444093,-0.00025705094,-0.3448379,0.1839097,-0.15514828,-0.00023634704
-0.00274041,-0.0201103,-9.82323,0.93865347,0.002135451,-0.00025962613,-0.34485516,0.18390472,-0.1551542,-0.00023372417
-0.00220259,-0.00479048,-9.8146,0.9386477,0.0021274192,-0.0002656599,-0.3448709,0.1839002,-0.15515956,-0.00022968791
-0.0220577,0.0010077,-9.81407,0.9386407,0.0021329592,-0.00026600392,-0.34488988,0.18389457,-0.15516624,-0.00023046022
0.0171019,0.000944381,-9.7944,0.93863404,0.00212851,-0.00026837,-0.34490803,0.18388918,-0.15517263,-0.00022867456
-0.00295047,0.00905336,-9.80379,0.93862736,0.0021310907,-0.0002692851,-0.34492615,0.18388376,-0.15517907,-0.00022870132
-0.00371863,-0.00810489,-9.80127,0.93861973,0.0021368593,-0.00026616192,-0.3449469,0.18387742,-0.15518658,-0.00023108165
0.00364895,-0.0182225,-9.81486,0.9386149,0.0021356398,-0.00026380297,-0.34495997,0.1838736,-0.15519112,-0.00023195891
-0.0127177,-0.0136307,-9.80993,0.9386057,0.0021417195,-0.00026263893,-0.34498492,0.1838658,-0.15520036,-0.0002335092
-0.00616629,0.0124375,-9.80558,0.9385994,0.002143601,-0.0002553281,-0.34500214,0.18386054,-0.15520659,-0.00023714051
0.00989155,0.00704682,-9.81665,0.93859506,0.0021427702,-0.000259357,-0.345014,0.18385704,-0.15521073,-0.00023519159
-0.016908,0.00391448,-9.83664,0.93858445,0.0021425488,-0.00025243984,-0.3450428,0.18384793,-0.1552215,-0.00023831127
-0.0090356,-0.0154525,-9.79429,0.9385759,0.00214311,-0.000256531,-0.34506598,0.18384069,-0.1552301,-0.00023657524
0.00521278,0.021833,-9.81997,0.9385671,0.0021417001,-0.00025520203,-0.34509003,0.18383318,-0.15523902,-0.00023696697
0.00941743,-0.00951563,-9.80177,0.9385615,0.0021437712,-0.00025863815,-0.3451052,0.1838286,-0.15524441,-0.00023576677
-0.00406608,-0.00699882,-9.79263,0.9385517,0.0021508294,-0.0002601289,-0.34513187,0.18382026,-0.15525432,-0.00023627926
0.00876381,0.00501581,-9.80103,0.93854654,0.002153449,-0.00026131087,-0.34514585,0.18381615,-0.15525918,-0.00023618723
-0.0233765,-0.0116546,-9.7993,0.93854755,0.0021465311,-0.00028133817,-0.3451432,0.18381755,-0.15525754,-0.00022598557
-0.0101163,-0.0104725,-9.79904,0.9385402,0.0021428305,-0.00028114908,-0.34516308,0.18381155,-0.15526465,-0.00022547961
-0.0152145,0.0145846,-9.8136,0.9385318,0.0021496096,-0.00027852494,-0.34518594,0.1838046,-0.15527289,-0.00022780245
0.0200211,-0.0153938,-9.79773,0.93852484,0.0021538197,-0.00027873795,-0.34520492,0.18379894,-0.15527958,-0.00022841535
0.0101836,0.0223793,-9.7913,0.93851924,0.0021513605,-0.00027769507,-0.3452201,0.18379459,-0.15528475,-0.0002284944
