ax,ay,az,qw,qx,qy,qz,u_prev,v_prev,w_prev,u,v,w
-0.0176393,0.0190864,-9.81611,0.4054451,-0.0010994202,-0.0009963462,0.9141182,0.233963,-0.0107559,6.93387e-07,0.233957,-0.0107655,6.87691e-07
-0.00370668,0.0153583,-9.81791,0.405123,-0.00109475,-0.00100192,0.914261,0.233957,-0.0107655,6.87691e-07,0.233952,-0.0107751,6.82045e-07
-0.00250648,0.0274535,-9.8323,0.40480697,-0.0010911999,-0.00100183,0.91440094,0.233952,-0.0107751,6.82045e-07,0.233946,-0.0107846,6.76618e-07
0.00130145,0.0180698,-9.81346,0.40448925,-0.0010943407,-0.0009965656,0.91454154,0.233946,-0.0107846,6.76618e-07,0.23394,-0.0107941,6.71599e-07
0.000914641,0.020769,-9.80909,0.40416783,-0.0010921495,-0.0009954846,0.91468364,0.23394,-0.0107941,6.71599e-07,0.233935,-0.0108035,6.67179e-07
-0.0108087,0.0286532,-9.83607,0.40384507,-0.0010940102,-0.0009984052,0.9148262,0.233935,-0.0108035,6.67179e-07,0.233929,-0.0108129,6.63538e-07
-0.00618654,0.0180184,-9.82084,0.4035219,-0.0010936197,-0.0009979488,0.9149688,0.233929,-0.0108129,6.63538e-07,0.233923,-0.0108222,6.60838e-07
-0.0016075,-0.00116983,-9.80286,0.4032011,-0.0010962102,-0.0009982802,0.91511023,0.233923,-0.0108222,6.60838e-07,0.233918,-0.0108314,6.59213e-07
-0.0173845,0.0436805,-9.79272,0.40288106,-0.0010992002,-0.0009985492,0.91525114,0.233918,-0.0108314,6.59213e-07,0.233912,-0.0108405,6.58762e-07
0.0195146,0.0115468,-9.81193,0.4025598,-0.0010978094,-0.0010024294,0.9153925,0.233912,-0.0108405,6.58762e-07,0.233906,-0.0108495,6.59548e-07
-0.0195127,-0.00608521,-9.79977,0.4022351,-0.0010971703,-0.0010076802,0.9155352,0.233906,-0.0108495,6.59548e-07,0.233901,-0.0108584,6.61583e-07
-0.0159943,0.00764236,-9.81328,0.4019141,-0.0010928302,-0.0010063802,0.9156762,0.233901,-0.0108584,6.61583e-07,0.233895,-0.0108672,6.64779e-07
0.0133175,0.00305731,-9.82298,0.40158808,-0.0010936102,-0.0010110602,0.91581917,0.233895,-0.0108672,6.64779e-07,0.23389,-0.010876,6.69003e-07
-0.017515,0.0221772,-9.81669,0.4012678,-0.0010924594,-0.0010137295,0.91595954,0.23389,-0.010876,6.69003e-07,0.233884,-0.0108847,6.74086e-07
-0.0237619,0.0097271,-9.81774,0.4009421,-0.0010893402,-0.0010162602,0.9161022,0.233884,-0.0108847,6.74086e-07,0.233879,-0.0108932,6.79837e-07
0.00986022,0.00397912,-9.83123,0.40062004,-0.00108684,-0.0010120001,0.9162431,0.233879,-0.0108932,6.79837e-07,0.233873,-0.0109018,6.86044e-07
-0.0123874,0.0190335,-9.8116,0.4003012,-0.0010897305,-0.0010120604,0.91638243,0.233873,-0.0109018,6.86044e-07,0.233868,-0.0109102,6.92492e-07
-0.00915388,0.00818679,-9.82366,0.39997903,-0.0010851801,-0.0010118801,0.9165231,0.233868,-0.0109102,6.92492e-07,0.233862,-0.0109186,6.98967e-07
0.00438017,0.00947676,-9.79903,0.39965805,-0.0010854601,-0.0010070401,0.9166631,0.233862,-0.0109186,6.98967e-07,0.233857,-0.0109269,7.05265e-07
-0.0197461,-0.00499289,-9.81392,0.399337,-0.00108215,-0.00100317,0.916803,0.233857,-0.0109269,7.05265e-07,0.233851,-0.0109352,7.11197e-07
0.0133835,0.00744155,-9.80545,0.39901507,-0.0010752802,-0.0010073802,0.9169432,0.233851,-0.0109352,7.11197e-07,0.233846,-0.0109435,7.16602e-07
-0.00802894,0.0188608,-9.79375,0.39869308,-0.0010776402,-0.0010046803,0.9170832,0.233846,-0.0109435,7.16602e-07,0.233841,-0.0109517,7.21363e-07
-0.0060014,0.0198023,-9.82404,0.398376,-0.0010852,-0.00100706,0.917221,0.233841,-0.0109517,7.21363e-07,0.233835,-0.0109599,7.25388e-07
0.0269232,0.027171,-9.79242,0.39806092,-0.0010863098,-0.0010082797,0.9173578,0.233835,-0.0109599,7.25388e-07,0.23383,-0.010968,7.28616e-07
-0.00286142,0.015977,-9.79492,0.39773998,-0.00108412,-0.0010110199,0.917497,0.23383,-0.010968,7.28616e-07,0.233825,-0.0109761,7.31014e-07
-0.0165466,0.0372852,-9.81168,0.39741698,-0.0010848199,-0.00101343,0.91763693,0.233825,-0.0109761,7.31014e-07,0.233819,-0.0109842,7.32575e-07
0.00977446,-0.00720184,-9.80818,0.39709306,-0.0010885302,-0.0010095101,0.9177771,0.233819,-0.0109842,7.32575e-07,0.233814,-0.0109922,7.33311e-07
-0.0102513,0.0133512,-9.80855,0.3967679,-0.0010907997,-0.0010083198,0.9179178,0.233814,-0.0109922,7.33311e-07,0.233809,-0.0110002,7.33257e-07
0.00162466,0.0271816,-9.81108,0.396448,-0.00109175,-0.00100791,0.91805595,0.233809,-0.0110002,7.33257e-07,0.233804,-0.0110082,7.32464e-07
0.0191148,0.0139473,-9.79353,0.39613178,-0.0010895594,-0.0010109094,0.91819245,0.233804,-0.0110082,7.32464e-07,0.233799,-0.0110162,7.30994e-07
-0.0121585,0.00124867,-9.80999,0.39581382,-0.0010906195,-0.0010120895,0.9183296,0.233799,-0.0110162,7.30994e-07,0.233793,-0.0110241,7.28913e-07
0.00577647,0.0227203,-9.80893,0.3954929,-0.0010876597,-0.0010186398,0.9184678,0.233793,-0.0110241,7.28913e-07,0.233788,-0.0110319,7.26379e-07
-0.00390897,0.0350116,-9.82392,0.39517486,-0.0010926996,-0.0010200397,0.9186047,0.233788,-0.0110319,7.26379e-07,0.233783,-0.0110397,7.23559e-07
-0.0180465,0.0339055,-9.82203,0.39485592,-0.0010951898,-0.0010179299,0.9187418,0.233783,-0.0110397,7.23559e-07,0.233778,-0.0110474,7.2062e-07
-0.00850471,0.00300961,-9.81428,0.3945419,-0.0010924197,-0.0010175097,0.91887677,0.233778,-0.0110474,7.2062e-07,0.233773,-0.0110551,7.17724e-07
-0.00182837,0.0195413,-9.81582,0.39421502,-0.00108701,-0.00101471,0.919017,0.233773,-0.0110551,7.17724e-07,0.233768,-0.0110627,7.15015e-07
-0.028715,0.0206523,-9.8031,0.39388892,-0.0010788398,-0.0010167098,0.91915685,0.233768,-0.0110627,7.15015e-07,0.233763,-0.0110702,7.12618e-07
-0.016735,0.0159854,-9.82598,0.39357102,-0.0010772201,-0.0010132401,0.91929305,0.233763,-0.0110702,7.12618e-07,0.233758,-0.0110776,7.10634e-07
0.0123919,0.0274956,-9.80365,0.39325014,-0.0010680604,-0.0010156004,0.9194303,0.233758,-0.0110776,7.10634e-07,0.233753,-0.0110849,7.09137e-07
0.00439569,0.00488737,-9.82231,0.39292392,-0.0010664398,-0.0010144198,0.9195698,0.233753,-0.0110849,7.09137e-07,0.233747,-0.0110922,7.08175e-07
-0.00404353,0.0129329,-9.82581,0.3926009,-0.0010645398,-0.0010154897,0.9197078,0.233747,-0.0110922,7.08175e-07,0.233742,-0.0110994,7.07679e-07
0.0012405,0.019993,-9.81135,0.39227578,-0.0010646494,-0.0010117094,0.9198465,0.233742,-0.0110994,7.07679e-07,0.233738,-0.0111065,7.07494e-07
0.00125224,0.0357939,-9.79678,0.39195678,-0.0010619394,-0.0010135494,0.9199825,0.233738,-0.0111065,7.07494e-07,0.233733,-0.0111136,7.07423e-07
-0.0222279,0.0358753,-9.80529,0.39163396,-0.0010622499,-0.0010143499,0.92011994,0.233733,-0.0111136,7.07423e-07,0.233728,-0.0111207,7.07248e-07
0.0130267,0.0283811,-9.81169,0.391307,-0.0010634101,-0.0010140301,0.920259,0.233728,-0.0111207,7.07248e-07,0.233723,-0.0111277,7.06746e-07
0.0118881,0.0226239,-9.78055,0.39098412,-0.0010572803,-0.0010170103,0.92039627,0.233723,-0.0111277,7.06746e-07,0.233718,-0.0111348,7.05705e-07
0.0024703,0.0239311,-9.80341,0.3906608,-0.0010558395,-0.0010161195,0.92053354,0.233718,-0.0111348,7.05705e-07,0.233713,-0.0111418,7.03932e-07
0.00205311,0.0230157,-9.8101,0.3903378,-0.0010600295,-0.0010143796,0.92067057,0.233713,-0.0111418,7.03932e-07,0.233708,-0.0111489,7.01264e-07
-0.0100223,0.0311236,-9.816,0.39008692,-0.0010762098,-0.0010156198,0.92077684,0.233708,-0.0111489,7.01264e-07,0.233703,-0.0111559,6.97577e-07
-0.0186446,0.0154864,-9.8023,0.38976592,-0.0010757698,-0.0010139898,0.9209128,0.233703,-0.0111559,6.97577e-07,0.233698,-0.011163,6.9279e-07
0.0381231,0.0165874,-9.79821,0.389444,-0.00107445,-0.00101684,0.92104894,0.233698,-0.011163,6.9279e-07,0.233694,-0.0111702,6.86925e-07
-0.0055329,0.00895799,-9.80052,0.38912576,-0.0010714093,-0.0010150594,0.92118347,0.233694,-0.0111702,6.86925e-07,0.233689,-0.0111773,6.80074e-07
-0.0102677,0.0229906,-9.81753,0.3887971,-0.0010659903,-0.0010226102,0.9213222,0.233689,-0.0111773,6.80074e-07,0.233684,-0.0111845,6.7238e-07
0.0116379,0.0162502,-9.818,0.3884788,-0.0010695894,-0.0010133095,0.9214565,0.233684,-0.0111845,6.7238e-07,0.233679,-0.0111917,6.64023e-07
0.0160717,0.0276899,-9.82652,0.38815498,-0.00107244,-0.00100629,0.92159295,0.233679,-0.0111917,6.64023e-07,0.233674,-0.0111989,6.55215e-07
-0.000851953,0.0237867,-9.81425,0.38783196,-0.0010761099,-0.0010091099,0.9217289,0.233674,-0.0111989,6.55215e-07,0.23367,-0.011206,6.46182e-07
0.0173817,0.0179492,-9.82604,0.38751096,-0.0010747999,-0.0010183799,0.9218639,0.23367,-0.011206,6.46182e-07,0.233665,-0.0112132,6.37156e-07
0.0125323,0.0120885,-9.8185,0.38719404,-0.0010689601,-0.00101956,0.9219971,0.233665,-0.0112132,6.37156e-07,0.23366,-0.0112204,6.28364e-07
-0.00214743,0.0228697,-9.82697,0.3868709,-0.0010635797,-0.0010183296,0.92213273,0.23366,-0.0112204,6.28364e-07,0.233656,-0.0112275,6.20022e-07
