time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2025-09-22T07:39:18.893Z,0.233352806,-0.00978083648,-9.65898338,-0.0103238303,-0.0480025913,0.00319819035
2025-09-22T07:39:18.898Z,0.217748461,-0.0042974469,-9.64893786,-0.0109825271,-0.0472973794,0.00220572863
2025-09-22T07:39:18.903Z,0.214641694,-0.00239102602,-9.64719978,-0.0118961824,-0.0470097495,0.00118489022
2025-09-22T07:39:18.908Z,0.216094818,-0.0036168951,-9.65793015,-0.0126735601,-0.0467868758,0.000602905473
2025-09-22T07:39:18.913Z,0.210738266,-0.00922978137,-9.65571844,-0.0137782356,-0.0469164938,0.000389146629
2025-09-22T07:39:18.918Z,0.208450817,-0.0151253536,-9.64368341,-0.015044953,-0.0458764317,0.000510510168
2025-09-22T07:39:18.923Z,0.20778412,-0.0181844538,-9.64576501,-0.0156921909,-0.0452503657,0.000462850579
2025-09-22T07:39:18.928Z,0.207793302,-0.0144471123,-9.64865866,-0.0166842533,-0.0451401308,0.000430984743
2025-09-22T07:39:18.933Z,0.203251409,-0.0135130824,-9.63339888,-0.0166298839,-0.0452887123,0.000127937732
2025-09-22T07:39:18.938Z,0.198237513,-0.0120277997,-9.62036836,-0.0168651929,-0.0444641236,-0.000268485909
2025-09-22T07:39:18.943Z,0.193559603,-0.0127291272,-9.62361065,-0.0178418821,-0.0435236241,9.83102612e-05
2025-09-22T07:39:18.948Z,0.188018887,-0.00247849335,-9.62254938,-0.0185710381,-0.0432449934,-0.000222028243
2025-09-22T07:39:18.953Z,0.181478216,0.0111570706,-9.6126515,-0.0195067297,-0.0431460561,-0.00127814713
2025-09-22T07:39:18.958Z,0.176834431,0.0149502398,-9.61054139,-0.019880252,-0.0425345282,-0.00113044498
2025-09-22T07:39:18.963Z,0.176652116,0.00930163746,-9.61242054,-0.0204717701,-0.0419683932,-0.00141081833
2025-09-22T07:39:18.968Z,0.175182021,0.0018471866,-9.60338805,-0.0212015885,-0.04098541,-0.00193676296
2025-09-22T07:39:18.973Z,0.174915585,0.00159363678,-9.58959008,-0.0220625768,-0.0399631523,-0.00187689038
2025-09-22T07:39:18.978Z,0.173472236,0.00707641858,-9.5855365,-0.0223601352,-0.0392542031,-0.00242079974
2025-09-22T07:39:18.983Z,0.171634417,0.00720055414,-9.58561032,-0.0225533389,-0.0382793797,-0.00243008805
2025-09-22T07:39:18.988Z,0.166191459,0.00859476961,-9.57771512,-0.0229638974,-0.038273955,-0.00234655395
2025-09-22T07:39:18.993Z,0.158414297,0.010117606,-9.57007646,-0.0237931713,-0.0374252437,-0.00264767913
2025-09-22T07:39:18.998Z,0.152337806,0.0136554013,-9.5735636,-0.0248162399,-0.0367132053,-0.00279437576
2025-09-22T07:39:19.003Z,0.148769417,0.010745268,-9.57449769,-0.0258845445,-0.0365783824,-0.00321121489
2025-09-22T07:39:19.008Z,0.145979793,0.0131526078,-9.56503689,-0.0261501188,-0.0356554588,-0.00344529624
2025-09-22T07:39:19.013Z,0.144463971,0.0210254497,-9.56590886,-0.0261707554,-0.0342888377,-0.00307712222
2025-09-22T07:39:19.018Z,0.141960929,0.0283260882,-9.57707558,-0.025917081,-0.0329857709,-0.00313488881
2025-09-22T07:39:19.023Z,0.139892408,0.0318300664,-9.5731309,-0.0258591171,-0.0324216916,-0.00424972664
2025-09-22T07:39:19.028Z,0.142501956,0.0288359351,-9.5616287,-0.0267942747,-0.0317602739,-0.00475715854
2025-09-22T07:39:19.033Z,0.1509231,0.0203994665,-9.5596136,-0.0273263885,-0.0306915953,-0.00517753137
2025-09-22T07:39:19.038Z,0.150097306,0.020886931,-9.5542941,-0.0277613751,-0.0295595052,-0.00599207985
2025-09-22T07:39:19.043Z,0.137710037,0.0245491752,-9.54009194,-0.0280730905,-0.028511803,-0.00568291296
2025-09-22T07:39:19.048Z,0.130775548,0.0252828323,-9.53551942,-0.0286656664,-0.0281900319,-0.00519792168
2025-09-22T07:39:19.053Z,0.133150282,0.0260508247,-9.54065547,-0.0289862211,-0.0275041318,-0.00484615513
2025-09-22T07:39:19.058Z,0.124807425,0.0265292514,-9.53734009,-0.0295837078,-0.026101137,-0.00520879242
2025-09-22T07:39:19.063Z,0.117060983,0.0242506931,-9.52563616,-0.0296191337,-0.0247796006,-0.00582213123
2025-09-22T07:39:19.068Z,0.123332408,0.0221427319,-9.5214057,-0.0297722948,-0.0239047466,-0.00577624928
2025-09-22T07:39:19.073Z,0.130533905,0.021975244,-9.52459901,-0.0297404006,-0.0230575627,-0.00638827796
