timestamp,roll,pitch,heading,heave,roll_rate,pitch_rate,yaw_rate,velocity_north,velocity_east,velocity_down
2025-09-22T08:18:33.280000Z,-1.55,1.93,245.22,0.0,-0.22,-2.73,-2.11,-0.14536361394717426,0.05184743351851557,-0.1
2025-09-22T08:18:33.580000Z,-0.91,1.38,244.81,-0.02,3.29,-0.81,-0.75,-0.18900989520628547,0.08136141699767145,-0.02
2025-09-22T08:18:33.880000Z,-0.1,1.59,244.79,-0.01,1.48,1.53,0.12,-0.24013742446446323,0.09218012071794121,0.06
2025-09-22T08:18:34.180000Z,-0.38,2.11,244.66,0.01,-2.06,1.47,-0.94,-0.19765695446535228,0.057237653806228445,0.04
2025-09-22T08:18:34.480000Z,-0.93,2.17,244.24,0.01,-1.33,-0.78,-1.59,-0.19594884746419416,0.06283685096513007,-0.03
2025-09-22T08:18:34.780000Z,-1.15,1.67,243.9,-0.01,-0.38,-1.76,-0.81,-0.23910935504339742,0.09481494404749982,-0.06
2025-09-22T08:18:35.080000Z,-1.05,1.56,243.67,-0.01,1.28,1.0,-0.79,-0.19428421067225024,0.06780904176598199,0.02
2025-09-22T08:18:35.380000Z,-0.13,2.15,243.43,0.01,3.96,2.0,-0.84,-0.19587193154833638,0.0630762006884041,0.08
2025-09-22T08:18:35.680000Z,0.35,2.25,243.2,0.02,-1.31,-1.13,-0.63,-0.24005689070655506,0.09238964502746548,-0.01
2025-09-22T08:18:35.980000Z,-1.12,1.53,243.13,-0.01,-5.88,-2.49,-0.14,-0.23636874128886579,0.10145430215381328,-0.09
2025-09-22T08:18:36.280000Z,-1.99,1.38,243.02,-0.02,0.28,1.24,-0.68,-0.1943904851336892,0.06750377731096947,0.02
2025-09-22T08:18:36.580000Z,-0.59,2.21,242.66,0.01,6.44,3.04,-1.18,-0.1982839610707319,0.05502627957494932,0.11
2025-09-22T08:18:36.880000Z,0.52,2.44,242.56,0.02,0.33,-1.27,0.24,-0.2390928030721005,0.09485667505835195,-0.01
2025-09-22T08:18:37.180000Z,-0.64,1.49,242.61,-0.0,-5.35,-3.43,-0.23,-0.2353839746341943,0.10371857003164368,-0.12
2025-09-22T08:18:37.480000Z,-1.52,1.17,242.49,-0.02,-0.32,1.21,-0.3,-0.24061678449812016,0.09092150626658804,0.02
2025-09-22T08:18:37.780000Z,-0.78,2.28,242.47,0.01,3.13,4.3,0.14,-0.24779483261026303,0.06899911749907912,0.15
2025-09-22T08:18:38.080000Z,-0.33,2.72,242.49,0.04,0.22,-1.33,-0.1,-0.24021777534727637,0.0919705262092452,-0.02
2025-09-22T08:18:38.380000Z,-0.6,1.57,242.38,-0.0,-1.37,-4.42,-0.53,-0.23173788232994538,0.11162755563583929,-0.16
